rank,country,publications,population_2024,pubs_per_million
1,Switzerland,132,9005582,14.66
2,Greece,118,10405134,11.34
3,New Zealand,37,5290000,6.99
4,Israel,48,10002200,4.8
5,Lebanon,21,5805962,3.62
6,Italy,194,58952704,3.29
7,Hong Kong,23,7524100,3.06
8,Singapore,18,6036860,2.98
9,Sweden,31,10569709,2.93
10,Croatia,11,3866200,2.85
11,Norway,15,5572279,2.69
12,Turkey,216,85518661,2.53
13,Ireland,13,5395790,2.41
14,Germany,191,83516593,2.29
15,United Kingdom,153,69281000,2.21
16,Netherlands,38,17993485,2.11
17,Austria,19,9177982,2.07
18,Australia,53,27194286,1.95
19,Romania,30,19051804,1.57
20,Spain,69,48848840,1.41
21,Hungary,13,9562065,1.36
22,Canada,54,41262329,1.31
23,Iran,109,91567738,1.19
24,United States,386,340003797,1.14
25,Portugal,12,10694681,1.12
26,Belgium,12,11858610,1.01
27,Saudi Arabia,34,35300280,0.96
28,France,48,68551653,0.7
29,Egypt,78,116538258,0.67
30,Poland,18,36559233,0.49
31,South Korea,25,51751065,0.48
32,Brazil,67,211998573,0.32
33,Japan,38,123975371,0.31
34,Colombia,14,52886363,0.26
35,Russia,32,143669648,0.22
36,China,257,1408975000,0.18
37,India,193,1450935791,0.13
38,Mexico,16,130861007,0.12
39,Pakistan,13,251269164,0.05
,Switzerland excluding zurich_cxl first-author records,80,9005582,8.88
